,,Values
CSC111,Title,CSC 111 – Computer Programming-I (3-2-1)
CSC111,Course Description,"Introduction to computers and programs. Programmer’s algorithm, byte code and Java Virtual Machine. Java program’s structure, constants, variables and built-in data types. The arithmetic, assignment, increment and decrement operators. Classes and object definition, UML representation of a class, declaration of objects (Instance variables), primitive types and reference types. Relational and logical operators, Boolean expressions, conditional statements, loop statements. Object oriented principles, encapsulation and information hiding, methods and the message passing principles, setters, and getters. Methods in depth, passing parameters, constructors, setters. Arrays, usefulness of arrays, declaration of arrays, access to array elements, operations on arrays."
CSC111,Prerequisite,CT 140 - Computer Skills.
CSC111,Textbook,"An Introduction to Object-Oriented Programming with Java, 4th edition, by C. Thomas Wu (Otani), McGraw-Hill Higher Education, 2006."
CSC111,Course Objectives,"The course aims at giving the students a broad foundation in the fundamental concepts of object oriented programming accompanied by specific labs to develop the basic skills in object oriented programming with Java. It introduces the basic concepts and principles of the Object Oriented approach such as: (i) Abstraction and Encapsulation principles, (ii) Classes, objects and the constructor concepts, (iii) Information hiding principle and the assessors concept. (iv) Methods, the message passing and the overloading principles."
CSC113,Title,CSC 113 – Computer Programming-II (3-2-1)
CSC113,Course Description,"This course continues the coverage of the fundamental concepts of Object Oriented Programming started in Programming I (CSC 111). It covers more advanced concepts and topics such as relationships between classes, inheritance, polymorphism, abstract classes, error handling, interfaces, generics and data structures such as linked lists, stacks and queues, in addition to graphical user interface."
CSC113,Prerequisite,CSC 111 - Computer Programming I.
CSC113,Textbook,"An Introduction to Object-Oriented Programming with Java, 4th edition, by C. Thomas Wu (Otani), McGraw-Hill Higher Education, 2006. Java Programming: From Problem Analysis to Program Design,4th Edition by D.S. Malik."
CSC113,Course Objectives,"The objective of this course is to develop the students' ability to use the basics of object-oriented design and programming. The students learn the characteristic features of object orientation – classes, methods, polymorphism, and inheritance – through both the lectures and a sequence of illustrative programming assignments. Students will also study list data structures, event driven programming and graphical user interface tools."
CSC212,Title,CSC 212 – Data Structures (3-0-1)
CSC212,Course Description,"Fundamental concepts of data structures. Performance measurement of algorithms. Implementation and use of lists, stacks, queues, priority queues, trees, heaps, hash tables and graphs. Recursion. Students will do programming assignments."
CSC212,Prerequisite,CSC 113 - Computer Programming II.
CSC212,Textbook,"Data Structures and Algorithms in Java, 4th edition, by M.T. Goodrich and R. Tamassia. John Wiley and Sons, Inc., ISBN: 0-471-73884-0."
CSC212,Course Objective,The objective of this course is to teach the fundamentals of data structures needed in the remainder of the curriculum and develop students’ problem solving and computer programming skills.
CSC215,Title,CSC 215 – Procedural Programming With C (2-2-1)
CSC215,Course Description,"Introduction to the procedural programming paradigm. Brief history of C. C primitive data types, variables and constants, operators (arithmetic operators, logical operators, and access operators). Control structures. Procedures and parameter passing. User defined types. Pointers."
CSC215,Prerequisite,CSC 111 - Computer Programming I
CSC215,Textbook,"Brian W. Kernighan, Dennis M. Ritchie, “The C programming Language”, Prentice Hall, 1988."
CSC215,Course Objectives,The objective of this course is to teach students the design and implementation of C programs. They also are meant to understand when to use procedural vs. OO programming.
CSC220,Title,CSC 220 – Computer Organization (2-2-1)
CSC220,Course Description,"The course introduces basic digital logic design techniques and integrates the topics of generic assembly language programming, computer organization, and computer design. The objectives of this course are to: help students learn the fundamental elements of computer architecture from a functional, hardware perspective; foster an appreciation of organizational models and design decisions that determine the overall performance, capabilities, and limitations of a computer system; and help students understand the interdependencies among assembly languages, computer organization, and design. Topics include Introduction to basic computer organization and how the computer works; DeMorgan’s Law, simplifying circuits using Karnaugh maps, Instruction code, Computer registers, Instruction set, Timing and control; Register Transfer Language HDL ( Hardware Description Language) and Micro-operations; Computer Arithmetic Logic Unit Design. -Hardwired control unit, instruction set, introduction to addressing modes; Central Processing Unit Design, Register organization, Instruction format, Addressing modes."
CSC220,Prerequisite,CSC 111 - Computer programming I
CSC220,Textbook,"Computer System Architecture - 3rd Edition, Author: Morris Mano, Publisher: McGraw Hill. Logic and Computer Design Fundamentals*, 4th Edition by M. Morris Mano and Charles R. Kime.Published by Prentice-Hall, 2008. ISBN: 0-13-600158-0."
